date,match_id,home,away,outcome,p_model,p_market,edge_pp,edge_rel,fair_odds,market_odds
2026-06-24,WC26-MEX-CZE-2026-06-24,Mexico,Czech Republic,home,0.6593,0.533,12.63,0.237,-194,-114
2026-06-24,WC26-MEX-CZE-2026-06-24,Mexico,Czech Republic,draw,0.2154,0.2629,-4.75,-0.181,+364,+280
2026-06-24,WC26-MEX-CZE-2026-06-24,Mexico,Czech Republic,away,0.1253,0.2041,-7.88,-0.386,+698,+390
2026-06-24,WC26-CAN-SUI-2026-06-24,Canada,Switzerland,home,0.3862,0.2745,11.17,0.407,+159,+264
2026-06-24,WC26-CAN-SUI-2026-06-24,Canada,Switzerland,draw,0.2894,0.2785,1.09,0.039,+246,+259
2026-06-24,WC26-CAN-SUI-2026-06-24,Canada,Switzerland,away,0.3244,0.4469,-12.25,-0.274,+208,+124
2026-06-25,WC26-USA-TUR-2026-06-25,United States,Turkey,home,0.2997,0.3756,-7.59,-0.202,+234,+166
2026-06-25,WC26-USA-TUR-2026-06-25,United States,Turkey,draw,0.2871,0.2698,1.73,0.064,+248,+271
2026-06-25,WC26-USA-TUR-2026-06-25,United States,Turkey,away,0.4132,0.3547,5.85,0.165,+142,+182
2026-06-25,WC26-PAR-AUS-2026-06-25,Paraguay,Australia,home,0.4013,0.4447,-4.34,-0.098,+149,+125
2026-06-25,WC26-PAR-AUS-2026-06-25,Paraguay,Australia,draw,0.2883,0.2897,-0.14,-0.005,+247,+245
2026-06-25,WC26-PAR-AUS-2026-06-25,Paraguay,Australia,away,0.3104,0.2656,4.48,0.169,+222,+277
2026-06-25,WC26-CUW-CIV-2026-06-25,Curaçao,Ivory Coast,home,0.2115,0.0741,13.74,1.854,+373,+1250
2026-06-25,WC26-CUW-CIV-2026-06-25,Curaçao,Ivory Coast,draw,0.2652,0.1376,12.76,0.927,+277,+627
2026-06-25,WC26-CUW-CIV-2026-06-25,Curaçao,Ivory Coast,away,0.5233,0.7883,-26.5,-0.336,-110,-372
2026-06-25,WC26-ECU-GER-2026-06-25,Ecuador,Germany,home,0.3923,0.2005,19.18,0.957,+155,+399
2026-06-25,WC26-ECU-GER-2026-06-25,Ecuador,Germany,draw,0.289,0.2467,4.23,0.171,+246,+305
2026-06-25,WC26-ECU-GER-2026-06-25,Ecuador,Germany,away,0.3187,0.5528,-23.41,-0.423,+214,-124
2026-06-25,WC26-JPN-SWE-2026-06-25,Japan,Sweden,home,0.6162,0.4545,16.17,0.356,-161,+120
2026-06-25,WC26-JPN-SWE-2026-06-25,Japan,Sweden,draw,0.2336,0.2766,-4.3,-0.155,+328,+262
2026-06-25,WC26-JPN-SWE-2026-06-25,Japan,Sweden,away,0.1502,0.2689,-11.87,-0.441,+566,+272
2026-06-25,WC26-TUN-NED-2026-06-25,Tunisia,Netherlands,home,0.1311,0.1468,-1.57,-0.107,+663,+581
2026-06-25,WC26-TUN-NED-2026-06-25,Tunisia,Netherlands,draw,0.22,0.2169,0.31,0.014,+355,+361
2026-06-25,WC26-TUN-NED-2026-06-25,Tunisia,Netherlands,away,0.6489,0.6363,1.26,0.02,-185,-175
2026-06-26,WC26-SEN-IRQ-2026-06-26,Senegal,Iraq,home,0.5172,0.675,-15.78,-0.234,-107,-208
2026-06-26,WC26-SEN-IRQ-2026-06-26,Senegal,Iraq,draw,0.2669,0.2047,6.22,0.304,+275,+389
2026-06-26,WC26-SEN-IRQ-2026-06-26,Senegal,Iraq,away,0.2159,0.1203,9.56,0.795,+363,+731
2026-06-26,WC26-NOR-FRA-2026-06-26,Norway,France,home,0.2506,0.2141,3.65,0.17,+299,+367
2026-06-26,WC26-NOR-FRA-2026-06-26,Norway,France,draw,0.2778,0.2604,1.74,0.067,+260,+284
2026-06-26,WC26-NOR-FRA-2026-06-26,Norway,France,away,0.4716,0.5255,-5.39,-0.103,+112,-111
2026-06-26,WC26-URU-ESP-2026-06-26,Uruguay,Spain,home,0.1319,0.1749,-4.3,-0.246,+658,+472
2026-06-26,WC26-URU-ESP-2026-06-26,Uruguay,Spain,draw,0.2206,0.2405,-1.99,-0.083,+353,+316
2026-06-26,WC26-URU-ESP-2026-06-26,Uruguay,Spain,away,0.6475,0.5847,6.28,0.107,-184,-141
2026-06-26,WC26-NZL-BEL-2026-06-26,New Zealand,Belgium,home,0.1678,0.0962,7.16,0.744,+496,+940
2026-06-26,WC26-NZL-BEL-2026-06-26,New Zealand,Belgium,draw,0.2444,0.1603,8.41,0.525,+309,+524
2026-06-26,WC26-NZL-BEL-2026-06-26,New Zealand,Belgium,away,0.5878,0.7434,-15.56,-0.209,-143,-290
2026-06-26,WC26-EGY-IRN-2026-06-26,Egypt,Iran,home,0.2722,0.4194,-14.72,-0.351,+267,+138
2026-06-26,WC26-EGY-IRN-2026-06-26,Egypt,Iran,draw,0.2827,0.3163,-3.36,-0.106,+254,+216
2026-06-26,WC26-EGY-IRN-2026-06-26,Egypt,Iran,away,0.445,0.2643,18.07,0.684,+125,+278
2026-06-26,WC26-CPV-KSA-2026-06-26,Cape Verde,Saudi Arabia,home,0.3237,0.3687,-4.5,-0.122,+209,+171
2026-06-26,WC26-CPV-KSA-2026-06-26,Cape Verde,Saudi Arabia,draw,0.2894,0.295,-0.56,-0.019,+246,+239
2026-06-26,WC26-CPV-KSA-2026-06-26,Cape Verde,Saudi Arabia,away,0.3869,0.3364,5.05,0.15,+158,+197
2026-06-27,WC26-PAN-ENG-2026-06-27,Panama,England,home,0.1258,0.1127,1.31,0.116,+695,+787
