match_id,market_type,outcome,p_elo,p_poisson,p_form,p_ensemble_e3,p_ensemble_v2,p_kalshi,v_kalshi,p_polymarket,v_polymarket,golden_zone,edge,opportunity
WC26-IRQ-NOR-2026-06-16,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-IRQ-NOR-2026-06-16,match_1x2,home,0.125,,,,,,0,,0,0,,
WC26-JOR-ALG-2026-06-22,match_1x2,away,0.429,,,,,,0,,0,0,,
WC26-JOR-ALG-2026-06-22,match_1x2,draw,0.255,,,,,,0,,0,0,,
WC26-JOR-ALG-2026-06-22,match_1x2,home,0.316,,,,,,0,,0,0,,
WC26-JOR-ARG-2026-06-27,match_1x2,away,0.781,,,,,0.81,0,,0,0,,
WC26-JOR-ARG-2026-06-27,match_1x2,draw,0.15,,,,,0.37,0,,0,0,,
WC26-JOR-ARG-2026-06-27,match_1x2,home,0.069,,,,,0.05,0,,0,0,,
WC26-JOR-DZA-2026-06-22,match_1x2,away,,,,,,0.25,0,,0,0,,
WC26-JOR-DZA-2026-06-22,match_1x2,draw,,,,,,,0,,0,0,,
WC26-JOR-DZA-2026-06-22,match_1x2,home,,,,,,0.48,0,,0,0,,
WC26-JPN-SWE-2026-06-25,match_1x2,away,0.217,,,,,,0,,0,0,,
WC26-JPN-SWE-2026-06-25,match_1x2,draw,0.154,,,,,,0,,0,0,,
WC26-JPN-SWE-2026-06-25,match_1x2,home,0.629,,,,,,0,,0,0,,
WC26-KOR-CZE-2026-06-11,match_1x2,away,0.334,,,,,,0,,0,0,,
